-4.95	0.457536	-0.65398
-4.85	0.271761	-0.401206
-4.75	0.0751511	-0.112594
-4.65	-0.124454	0.186076
-4.55	-0.319098	0.468124
-4.45	-0.501021	0.708356
-4.35	-0.662969	0.885313
-4.25	-0.798487	0.983187
-4.15	-0.902172	0.993237
-4.05	-0.96989	0.914563
-3.95	-0.998941	0.754194
-3.85	-0.988168	0.526455
-3.75	-0.938	0.25169
-3.65	-0.850437	-0.0455585
-3.55	-0.728969	-0.338737
-3.45	-0.57844	-0.601657
-3.35	-0.40485	-0.810833
-3.25	-0.21512	-0.94758
-3.15	-0.0168139	-0.999682
-3.05	0.182163	-0.962485
-2.95	0.373877	-0.839313
-2.85	0.550686	-0.641167
-2.75	0.70554	-0.385748
-2.65	0.832267	-0.0958709
-2.55	0.925815	0.20257
-2.45	0.982453	0.482916
-2.35	0.999923	0.720124
-2.25	0.97753	0.893006
-2.15	0.916166	0.986119
-2.05	0.818277	0.991144
-1.95	0.687766	0.907633
-1.85	0.529836	0.743046
-1.75	0.350783	0.512085
-1.65	0.157746	0.235381
-1.55	-0.0415807	-0.0623485
-1.45	-0.239249	-0.354509
-1.35	-0.42738	-0.615002
-1.25	-0.598472	-0.820559
-1.15	-0.745705	-0.952818
-1.05	-0.863209	-0.999965
-0.95	-0.9463	-0.957787
-0.85	-0.991665	-0.830054
-0.75	-0.997495	-0.628174
-0.65	-0.963558	-0.370181
-0.55	-0.891207	-0.0791209
-0.45	-0.783327	0.219007
-0.35	-0.644218	0.497571
-0.25	-0.479426	0.731689
-0.15	-0.29552	0.900447
-0.05	-0.0998334	0.988771
0.05	0.0998334	0.988771
0.15	0.29552	0.900447
0.25	0.479426	0.731689
0.35	0.644218	0.497571
0.45	0.783327	0.219007
0.55	0.891207	-0.0791209
0.65	0.963558	-0.370181
0.75	0.997495	-0.628174
0.85	0.991665	-0.830054
0.95	0.9463	-0.957787
1.05	0.863209	-0.999965
1.15	0.745705	-0.952818
1.25	0.598472	-0.820559
1.35	0.42738	-0.615002
1.45	0.239249	-0.354509
1.55	0.0415807	-0.0623485
1.65	-0.157746	0.235381
1.75	-0.350783	0.512085
1.85	-0.529836	0.743046
1.95	-0.687766	0.907633
2.05	-0.818277	0.991144
2.15	-0.916166	0.986119
2.25	-0.97753	0.893006
2.35	-0.999923	0.720124
2.45	-0.982453	0.482916
2.55	-0.925815	0.20257
2.65	-0.832267	-0.0958709
2.75	-0.70554	-0.385748
2.85	-0.550686	-0.641167
2.95	-0.373877	-0.839313
3.05	-0.182163	-0.962485
3.15	0.0168139	-0.999682
3.25	0.21512	-0.94758
3.35	0.40485	-0.810833
3.45	0.57844	-0.601657
3.55	0.728969	-0.338737
3.65	0.850437	-0.0455585
3.75	0.938	0.25169
3.85	0.988168	0.526455
3.95	0.998941	0.754194
4.05	0.96989	0.914563
4.15	0.902172	0.993237
4.25	0.798487	0.983187
4.35	0.662969	0.885313
4.45	0.501021	0.708356
4.55	0.319098	0.468124
4.65	0.124454	0.186076
4.75	-0.0751511	-0.112594
4.85	-0.271761	-0.401206
4.95	-0.457536	-0.65398

