1 12.0963
2 15.541
3 13.5982
4 12.6252
5 12.0158
6 11.6153
7 11.3373
8 11.0964
9 10.924
10 10.5362
11 10.1351
12 9.71864
13 9.25487
14 8.90131
15 8.52577
16 8.16774
17 7.84069
18 7.52783
19 7.27878
20 6.94575
21 6.7196
22 6.52844
23 6.28538
24 6.36598
25 5.86181
26 5.6924
27 5.63254
28 5.44182
29 5.2721
30 5.13066
31 5.02572
32 4.86806
1 12.1005
2 15.5378
3 13.599
4 12.6116
5 12.0137
6 11.6269
7 11.3123
8 11.1667
9 10.9128
10 10.5381
11 10.1343
12 9.70289
13 9.26689
14 8.89077
15 8.5407
16 8.16201
17 7.83246
18 7.53133
19 7.26014
20 6.94516
21 6.7044
22 6.53459
23 6.30997
24 6.14833
25 5.87717
26 5.69267
27 5.61807
28 5.41496
29 5.27204
30 5.149
31 5.05762
32 4.88891
